"Velocity_ft_p_s:0","Velocity_ft_p_s:1","Velocity_ft_p_s:2","Bed_Elev_ft","Water_Depth_ft","Water_Elev_ft","ManningN","h_99_percent","h_90_percent","h_50_percent","h_10_percent","h_1_percent","Points:0","Points:1","Points:2"
0,0,0,944.53,0,943.76,0.06,0,0,0,0,0.1,4.0873e+05,1.8063e+06,944.53
0,0,0,944.31,0,943.4,0.06,0,0,0,0,0.1,4.0869e+05,1.8062e+06,944.31
0,0,0,945.73,0,944.01,0.06,0,0,0,0.017143,0.1,4.0878e+05,1.8063e+06,945.73
0,0,0,951.68,0,945.1,0.06,0,0,0,0.023633,0.1,4.0883e+05,1.8063e+06,951.68
0,0,0,945.3,0,942.87,0.06,0,0,0,0,0.1,4.0888e+05,1.8062e+06,945.3
-2.7739e-05,-0.00036525,0,943.3,0.03198,942.32,0.055,0.0072922,0.013491,0.025612,0.037684,0.1,4.0963e+05,1.8062e+06,943.3
0,0,0,943.41,0,942.18,0.055,0,0,0,0,0.1,4.0963e+05,1.8063e+06,943.41
0,0,0,944.31,0,943.4,0.06,0,0,0,0,0.1,4.0868e+05,1.8062e+06,944.31
0,0,0,946.9,0,944.73,0.06,0,0,0,0,0.1,4.0864e+05,1.8062e+06,946.9
-1.2178e-05,-0.00054352,0,944.4,0.051915,943.02,0.055,0,0,0.032677,0.06915,0.1,4.0961e+05,1.8062e+06,944.4
0.0032908,0.0067205,0,946.31,0.0043349,944.3,0.06,0,0,0,0.017237,0.1,4.0864e+05,1.8061e+06,946.31
0.00061337,-0.0010786,0,945.64,0.017195,943.26,0.055,0,0,0,0.046884,0.1,4.0954e+05,1.8061e+06,945.64
-1.2178e-05,-0.00054352,0,945.58,0.051915,943.62,0.055,0,0,0.032677,0.06915,0.1,4.0958e+05,1.8061e+06,945.58
0.0021978,0.023313,0,944.86,0.0085664,943.49,0.06,0,0,0,0.024424,0.1,4.0863e+05,1.8061e+06,944.86
-0.00033126,-0.00051914,0,946.49,0.054918,944.02,0.055,0,0,0.036882,0.071074,0.1,4.0951e+05,1.8061e+06,946.49
0.00061337,-0.0010786,0,945.75,0.017195,943.34,0.055,0,0,0,0.046884,0.1,4.0953e+05,1.8061e+06,945.75
0.00046546,0.037357,0,943.67,0.012688,942.85,0.06,0,0,0,0.020673,0.1,4.0864e+05,1.806e+06,943.67
-6.6466e-05,-0.00093363,0,946.38,0.060983,943.88,0.055,0.016267,0.03146,0.047915,0.074966,0.1,4.0947e+05,1.806e+06,946.38
-0.00033126,-0.00051914,0,946.13,0.054918,943.58,0.055,0,0,0.036882,0.071074,0.1,4.0948e+05,1.806e+06,946.13
-0.0016543,0.0117,0,943.18,0.01098,942.49,0.06,0,0,0,0.021766,0.1,4.0864e+05,1.806e+06,943.18
0.00026954,-0.00081235,0,946.04,0.021248,943.73,0.055,0,0,0,0.049472,0.1,4.0944e+05,1.806e+06,946.04
-0.0028573,0.00016477,0,942.77,0.001803,942.17,0.06,0,0,0,0.019808,0.1,4.0865e+05,1.8059e+06,942.77
-5.1247e-05,-0.0015119,0,945.64,0.073445,943.74,0.055,0.020092,0.04042,0.062822,0.08296,0.1,4.0942e+05,1.8059e+06,945.64
0.00026954,-0.00081235,0,945.51,0.021248,943.31,0.055,0,0,0,0.049472,0.1,4.0943e+05,1.806e+06,945.51
-0.0024342,0.00014037,0,942.44,0.001536,941.85,0.06,0,0,0,0.016875,0.1,4.0868e+05,1.8059e+06,942.44
-0.0063433,3.9708e-05,0,942.31,0.0018234,941.67,0.06,0,0,0,0.015847,0.1,4.0873e+05,1.8059e+06,942.31
0,0,0,942.44,0.02525,941.71,0.06,0,0,0,0.049018,0.1,4.0876e+05,1.8059e+06,942.44
2.1276e-05,-0.0012464,0,944.92,0.060591,943.51,0.055,0,0.014822,0.044827,0.074713,0.1,4.0942e+05,1.8059e+06,944.92
-0.00092641,0.0011559,0,942.44,0.04636,942.04,0.06,0,0,0.024896,0.065601,0.1,4.0863e+05,1.8058e+06,942.44
-0.00092641,0.0011559,0,943.63,0.04636,942.42,0.06,0,0,0.024896,0.065601,0.1,4.0861e+05,1.8058e+06,943.63
-0.0012276,0.00015643,0,942.31,0.036587,941.8,0.06,0,0,0.021518,0.050087,0.1,4.0868e+05,1.8059e+06,942.31
-0.0014654,-4.5062e-06,0,942.39,0.044252,941.72,0.06,0,0.0094124,0.032247,0.055001,0.1,4.0873e+05,1.8059e+06,942.39
0.00010125,-0.00080002,0,943.77,0.051903,942.88,0.055,0,0,0.032664,0.069139,0.1,4.0941e+05,1.8058e+06,943.77
-0.00024722,0.0014184,0,942.76,0.049288,942.03,0.06,0,0,0.028988,0.067476,0.1,4.0859e+05,1.8058e+06,942.76
-0.00051995,-0.00084238,0,943.63,0.065176,942.62,0.055,0,0.021865,0.051244,0.077655,0.1,4.0936e+05,1.8058e+06,943.63
0.00010125,-0.00080002,0,943.43,0.051903,942.58,0.055,0,0,0.032664,0.069139,0.1,4.0938e+05,1.8058e+06,943.43
-0.0001622,0.00025055,0,942,0.03915,941.82,0.06,0,0,0.020661,0.060969,0.1,4.086e+05,1.8057e+06,942
-0.00047378,-0.0007603,0,944.17,0.063017,942.89,0.055,0.016555,0.034446,0.053826,0.071248,0.1,4.0932e+05,1.8057e+06,944.17
-0.00051995,-0.00084238,0,944.05,0.065176,942.77,0.055,0,0.021865,0.051244,0.077655,0.1,4.0933e+05,1.8057e+06,944.05
-0.00033264,-0.00019054,0,941.89,0.017164,941.7,0.06,0,0,0,0.046865,0.1,4.0862e+05,1.8057e+06,941.89
-4.4822e-05,-0.00053925,0,944.97,0.031844,943.02,0.055,0.015626,0.021871,0.028636,0.034717,0.1,4.0928e+05,1.8057e+06,944.97
-0.00021963,-0.00035245,0,944.88,0.029213,942.96,0.055,0.0076742,0.015968,0.024952,0.033028,0.1,4.0928e+05,1.8057e+06,944.88
-0.00033264,-0.00019054,0,941.83,0.017164,941.69,0.06,0,0,0,0.046865,0.1,4.0863e+05,1.8057e+06,941.83
0.00071179,-0.00071179,0,942.09,0.043291,941.84,0.06,0,0,0.02058,0.063623,0.1,4.0865e+05,1.8056e+06,942.09
-5.5812e-05,-0.0008529,0,945.57,0.065179,943.88,0.055,0.026348,0.039911,0.054604,0.077661,0.1,4.0927e+05,1.8056e+06,945.57
0.00071179,-0.00071179,0,942.09,0.043291,941.92,0.06,0,0,0.02058,0.063623,0.1,4.0865e+05,1.8056e+06,942.09
-6.5472e-05,-0.00046856,0,942.09,0.092876,942.08,0.06,0.078453,0.084006,0.090022,0.095431,0.1,4.0863e+05,1.8056e+06,942.09
0.00036102,-0.00079022,0,944.43,0.017166,943.09,0.055,0,0,0,0.046861,0.1,4.0924e+05,1.8056e+06,944.43
0,0,0,942.15,0.079384,942.05,0.06,0.037631,0.053706,0.071123,0.086779,0.1,4.0863e+05,1.8056e+06,942.15
0,0,0,942.44,0.079384,942.19,0.06,0.037631,0.053706,0.071123,0.086779,0.1,4.0859e+05,1.8055e+06,942.44
-2.1548e-07,-2.0663e-06,0,942.44,0.079384,942.19,0.06,0.037631,0.053706,0.071123,0.086779,0.1,4.0859e+05,1.8055e+06,942.44
-0.0002787,-0.00076796,0,944.44,0.043843,943.08,0.055,0,0,0.029122,0.057024,0.1,4.0921e+05,1.8055e+06,944.44
0.00036102,-0.00079022,0,944.22,0.017166,942.89,0.055,0,0,0,0.046861,0.1,4.0923e+05,1.8056e+06,944.22
5.2867e-05,-0.00040746,0,942.44,0.08449,942.23,0.06,0.053075,0.06517,0.078274,0.090054,0.1,4.0858e+05,1.8055e+06,942.44
5.2867e-05,-0.00040746,0,942.7,0.08449,942.52,0.06,0.053075,0.06517,0.078274,0.090054,0.1,4.0854e+05,1.8055e+06,942.7
3.791e-06,-0.00074631,0,944.22,0.020442,942.87,0.055,0,0.00024989,0.012063,0.030338,0.1,4.0917e+05,1.8055e+06,944.22
-0.00016608,-0.00045763,0,944.18,0.026126,942.84,0.055,0,0,0.017354,0.033981,0.1,4.0918e+05,1.8055e+06,944.18
5.2867e-05,-0.00040746,0,943.25,0.08449,942.52,0.06,0.053075,0.06517,0.078274,0.090054,0.1,4.0854e+05,1.8054e+06,943.25
-0.00019017,-0.00032962,0,943.35,0.08563,942.55,0.06,0.056521,0.067728,0.07987,0.090785,0.1,4.0853e+05,1.8054e+06,943.35
-0.00026693,-0.00034902,0,943.34,0.086614,942.55,0.06,0.059495,0.069936,0.081248,0.091417,0.1,4.0853e+05,1.8054e+06,943.34
0.00053511,-0.0011765,0,944.38,0.017144,942.94,0.055,0,0,0,0.046864,0.1,4.0914e+05,1.8054e+06,944.38
0,0,0,943.31,0.080321,942.52,0.06,0.040446,0.055797,0.07243,0.087382,0.1,4.0853e+05,1.8054e+06,943.31
0,0,0,942.75,0.080321,942.43,0.06,0.040446,0.055797,0.07243,0.087382,0.1,4.0849e+05,1.8054e+06,942.75
-5.0855e-05,-1e-05,0,943.31,0.080321,942.54,0.06,0.040446,0.055797,0.07243,0.087382,0.1,4.0853e+05,1.8054e+06,943.31
0.00047326,0.00043983,0,943.51,0.017123,942.7,0.055,0,0,0,0.046865,0.1,4.0911e+05,1.8054e+06,943.51
0.00053511,-0.0011765,0,944.06,0.017144,942.77,0.055,0,0,0,0.046864,0.1,4.0913e+05,1.8054e+06,944.06
0.0066345,0.0010788,0,961.21,0.09445,956.13,0.06,0.047209,0.090615,0.095253,0.098176,0.1,4.0573e+05,1.8054e+06,961.21
0.0066345,0.0010788,0,958.98,0.09445,953.41,0.06,0.047209,0.090615,0.095253,0.098176,0.1,4.057e+05,1.8053e+06,958.98
